Time,GPU Util (%),Memory Used (MB),Temp (C)
19:55:28.491,1,625,31
19:55:29.495,0,625,31
19:55:30.498,9,623,31
19:55:31.503,0,623,31
19:55:32.506,14,569,31
19:55:33.510,0,569,31
19:55:34.514,0,566,31
19:55:35.519,100,569,34
19:55:36.522,100,571,35
19:55:37.525,100,584,36
19:55:38.528,100,584,36
19:55:39.531,100,583,37
19:55:40.534,100,589,36
19:55:41.537,100,601,37
19:55:42.541,100,601,38
19:55:43.544,100,601,38
19:55:44.548,100,599,38
19:55:45.551,100,599,38
19:55:46.554,100,607,38
19:55:47.556,100,607,38
19:55:48.560,100,616,39
19:55:49.563,100,616,39
19:55:50.567,100,617,39
19:55:51.571,100,617,39
19:55:52.575,100,624,39
19:55:53.578,100,624,40
19:55:54.581,100,624,39
19:55:55.585,100,624,39
19:55:56.589,0,626,38
19:55:57.592,0,626,38
19:55:58.596,0,626,38
19:55:59.600,0,629,36
