Time,GPU Util (%),Memory Used (MB),Temp (C)
19:38:40.701,0,454,44
19:38:40.968,0,454,44
19:38:41.234,1,454,44
19:38:41.501,0,454,44
19:38:41.767,0,454,44
19:38:42.033,0,454,44
19:38:42.300,1,455,44
19:38:42.566,0,455,44
19:38:42.833,0,455,44
19:38:43.099,0,455,44
19:38:43.366,0,455,44
19:38:43.632,0,455,44
19:38:43.899,0,455,44
19:38:44.165,1,455,44
19:38:44.432,1,455,44
19:38:44.699,0,455,44
19:38:44.965,1,455,44
19:38:45.232,0,456,44
19:38:45.498,31,460,45
19:38:45.764,74,461,45
19:38:46.031,75,461,46
19:38:46.297,80,457,46
19:38:46.563,74,457,46
19:38:46.830,74,457,47
19:38:47.096,62,457,47
19:38:47.362,75,453,47
19:38:47.629,82,453,47
19:38:47.899,67,453,47
19:38:48.165,69,449,47
19:38:48.431,75,449,47
19:38:48.698,80,449,47
19:38:48.964,78,449,47
19:38:49.231,71,445,47
19:38:49.497,88,445,47
19:38:49.763,78,445,47
19:38:50.030,78,441,48
19:38:50.296,81,441,47
19:38:50.563,72,441,47
19:38:50.829,83,441,48
19:38:51.095,76,441,47
19:38:51.362,71,441,47
19:38:51.628,80,441,47
19:38:51.894,81,441,47
19:38:52.161,78,441,48
19:38:52.427,75,441,47
19:38:52.693,73,441,47
19:38:52.960,65,441,47
19:38:53.226,87,442,48
19:38:53.493,100,442,49
19:38:53.759,100,442,48
19:38:54.025,100,442,49
19:38:54.292,100,442,48
19:38:54.558,100,442,48
19:38:54.824,98,446,49
19:38:55.091,100,446,49
19:38:55.357,100,446,48
19:38:55.624,64,446,48
19:38:55.890,53,446,48
19:38:56.156,74,446,48
19:38:56.423,70,446,49
19:38:56.689,78,446,48
19:38:56.955,82,446,48
19:38:57.222,82,446,48
19:38:57.488,78,446,48
19:38:57.755,75,446,48
19:38:58.021,78,446,49
19:38:58.288,82,446,48
19:38:58.554,60,446,48
19:38:58.821,85,446,48
19:38:59.087,77,446,48
19:38:59.353,74,446,48
19:38:59.620,75,446,48
19:38:59.886,75,446,48
19:39:00.152,71,446,48
19:39:00.419,68,446,48
19:39:00.685,75,446,48
19:39:00.952,83,446,49
19:39:01.218,100,446,50
19:39:01.484,100,446,50
19:39:01.751,100,446,50
19:39:02.017,100,446,50
19:39:02.284,100,446,49
19:39:02.550,100,446,50
19:39:02.816,100,446,49
19:39:03.083,89,446,50
19:39:03.349,100,446,50
19:39:03.615,89,446,50
19:39:03.882,68,446,49
19:39:04.148,65,446,49
19:39:04.415,81,446,49
19:39:04.682,60,446,48
19:39:04.948,87,446,49
19:39:05.214,77,446,49
19:39:05.481,76,446,49
19:39:05.747,73,446,49
19:39:06.014,82,446,49
19:39:06.280,85,446,49
19:39:06.546,79,446,49
19:39:06.813,70,446,49
19:39:07.079,81,446,49
19:39:07.345,72,446,49
19:39:07.612,78,446,49
19:39:07.878,75,446,50
19:39:08.145,71,446,50
19:39:08.411,75,446,49
19:39:08.677,84,446,50
19:39:08.944,99,446,50
19:39:09.210,100,446,50
19:39:09.477,100,446,50
19:39:09.743,100,446,51
19:39:10.009,100,446,50
19:39:10.276,100,446,50
19:39:10.542,100,446,50
19:39:10.808,100,446,51
19:39:11.075,72,450,49
19:39:11.341,67,450,50
19:39:11.608,87,450,50
19:39:11.874,81,450,50
19:39:12.140,69,450,50
19:39:12.407,68,450,50
19:39:12.673,66,450,50
19:39:12.939,86,450,50
19:39:13.206,66,450,50
19:39:13.472,75,450,50
19:39:13.739,77,450,50
19:39:14.005,75,450,50
19:39:14.271,86,450,50
19:39:14.538,76,450,50
19:39:14.804,69,450,50
19:39:15.071,83,450,50
19:39:15.337,72,450,50
19:39:15.603,70,450,50
19:39:15.870,79,450,50
19:39:16.136,63,450,50
19:39:16.404,79,450,50
19:39:16.671,94,450,51
19:39:16.937,100,450,51
19:39:17.203,100,450,51
19:39:17.470,100,450,51
19:39:17.736,100,450,51
19:39:18.003,100,450,51
19:39:18.269,100,450,51
19:39:18.535,100,450,51
19:39:18.802,100,450,52
19:39:19.068,100,450,51
19:39:19.335,100,454,50
19:39:19.601,79,454,50
19:39:19.868,76,454,50
19:39:20.134,67,454,50
19:39:20.400,74,454,50
19:39:20.667,76,454,50
19:39:20.933,61,454,51
19:39:21.200,68,454,51
19:39:21.466,78,454,51
19:39:21.732,68,454,50
19:39:21.999,81,454,50
19:39:22.265,65,454,51
19:39:22.532,82,454,51
19:39:22.798,82,454,51
19:39:23.064,76,454,51
19:39:23.331,81,454,51
19:39:23.597,84,454,50
19:39:23.863,67,454,51
19:39:24.130,76,454,51
19:39:24.396,90,454,52
19:39:24.663,100,454,52
19:39:24.929,100,454,52
19:39:25.195,100,454,52
19:39:25.462,100,454,52
19:39:25.728,100,454,52
19:39:25.995,100,454,52
19:39:26.261,100,454,52
19:39:26.527,100,454,52
19:39:26.794,100,454,52
19:39:27.060,100,454,52
19:39:27.326,94,459,51
19:39:27.593,71,459,51
19:39:27.859,78,461,51
19:39:28.126,72,461,51
19:39:28.392,77,461,51
19:39:28.658,76,461,51
19:39:28.925,67,461,51
19:39:29.191,64,461,51
19:39:29.457,74,461,51
19:39:29.724,72,461,51
19:39:29.990,70,461,51
19:39:30.257,69,461,51
19:39:30.523,81,461,51
19:39:30.789,81,461,51
19:39:31.056,71,461,51
19:39:31.322,85,461,52
19:39:31.588,72,461,51
19:39:31.855,67,461,51
19:39:32.121,76,461,52
19:39:32.387,100,461,52
19:39:32.654,100,461,52
19:39:32.920,100,461,52
19:39:33.187,100,461,52
19:39:33.453,100,461,52
19:39:33.719,100,461,52
19:39:33.986,100,461,52
19:39:34.252,100,461,52
19:39:34.518,100,461,52
19:39:34.785,100,461,52
19:39:35.051,100,461,52
19:39:35.318,70,463,51
19:39:35.584,69,463,52
19:39:35.850,76,463,51
19:39:36.117,83,463,51
19:39:36.383,71,463,51
19:39:36.649,76,463,51
19:39:36.916,57,463,51
19:39:37.182,78,463,51
19:39:37.449,69,463,51
19:39:37.715,71,463,52
19:39:37.981,72,463,51
19:39:38.248,74,463,51
19:39:38.514,82,463,52
19:39:38.781,75,463,52
19:39:39.047,69,463,52
19:39:39.313,87,463,52
19:39:39.580,80,463,51
19:39:39.846,62,463,52
19:39:40.112,100,463,53
19:39:40.379,100,463,53
19:39:40.645,100,463,53
19:39:40.912,100,463,53
19:39:41.178,100,463,53
19:39:41.444,100,463,53
19:39:41.713,100,463,52
19:39:41.979,100,463,53
19:39:42.246,100,463,53
19:39:42.512,100,463,53
19:39:42.778,100,463,52
19:39:43.045,100,465,52
19:39:43.311,78,467,52
19:39:43.577,74,467,52
19:39:43.844,71,467,52
19:39:44.110,72,467,52
19:39:44.377,74,467,52
19:39:44.643,71,467,52
19:39:44.909,57,467,52
19:39:45.176,82,467,52
19:39:45.442,68,467,52
19:39:45.708,68,467,52
19:39:45.975,73,467,52
19:39:46.241,74,467,52
19:39:46.507,100,467,53
19:39:46.774,100,467,53
19:39:47.040,100,467,53
19:39:47.307,100,467,53
19:39:47.573,100,467,53
19:39:47.839,100,467,53
19:39:48.106,100,467,53
19:39:48.372,100,467,54
19:39:48.638,100,467,53
19:39:48.905,100,467,53
19:39:49.171,100,467,53
19:39:49.437,100,467,53
19:39:49.704,100,467,53
19:39:49.970,100,467,53
19:39:50.236,100,467,53
19:39:50.503,78,472,52
19:39:50.769,71,472,52
19:39:51.035,81,472,53
19:39:51.302,70,472,52
19:39:51.568,71,471,52
19:39:51.835,73,471,52
19:39:52.101,63,471,53
19:39:52.367,82,471,53
19:39:52.634,77,471,53
19:39:52.900,87,471,52
19:39:53.166,76,471,52
19:39:53.433,80,471,52
19:39:53.699,81,471,52
19:39:53.966,80,471,53
19:39:54.232,84,471,52
19:39:54.498,71,470,52
19:39:54.765,68,470,53
19:39:55.031,68,470,52
19:39:55.297,74,470,52
19:39:55.564,89,470,53
19:39:55.830,100,470,54
19:39:56.097,100,470,53
19:39:56.363,100,470,53
19:39:56.629,100,470,54
19:39:56.896,100,470,53
19:39:57.162,100,470,53
19:39:57.428,100,470,54
19:39:57.695,100,470,54
19:39:57.961,100,470,53
19:39:58.227,100,475,52
19:39:58.494,77,474,53
19:39:58.760,64,474,52
19:39:59.027,86,475,53
19:39:59.293,76,475,53
19:39:59.559,77,475,53
19:39:59.826,71,475,53
19:40:00.092,64,475,53
19:40:00.359,76,474,52
19:40:00.625,76,474,53
19:40:00.891,77,474,53
19:40:01.158,69,474,52
19:40:01.424,89,474,53
19:40:01.690,81,474,53
19:40:01.957,71,474,53
19:40:02.223,86,474,53
19:40:02.489,72,474,52
19:40:02.756,79,474,53
19:40:03.022,74,474,52
19:40:03.289,69,474,53
19:40:03.555,100,474,53
19:40:03.821,100,474,53
19:40:04.088,100,474,53
19:40:04.354,100,474,54
19:40:04.620,100,474,54
