Time,GPU Util (%),Memory Used (MB),Temp (C)
20:48:52.705,1,449,34
20:48:53.706,0,458,34
20:48:54.706,100,454,36
20:48:55.707,100,455,39
20:48:56.707,100,455,40
20:48:57.707,100,455,40
20:48:58.708,100,456,40
20:48:59.708,100,466,40
20:49:00.709,93,471,41
20:49:01.709,100,475,41
20:49:02.709,100,479,41
20:49:03.710,0,478,39
20:49:04.710,0,477,38
20:49:05.711,0,476,38
20:49:06.711,0,474,38
20:49:07.712,0,472,38
20:49:08.712,0,471,38
20:49:09.713,0,471,38
20:49:10.713,0,471,38
20:49:11.714,0,471,39
20:49:12.714,0,471,38
20:49:13.715,0,471,38
20:49:14.715,0,471,38
20:49:15.716,0,471,38
20:49:16.716,0,471,38
20:49:17.717,0,471,38
20:49:18.717,0,471,39
20:49:19.718,0,471,39
20:49:20.718,0,471,39
20:49:21.719,0,471,39
20:49:22.719,2,445,39
20:49:23.720,6,444,39
20:49:24.720,3,444,39
